name,hash_name,wear,url,price_usd,quantity,scraped_at
AK-47 | Elite Build (Minimal Wear),AK-47 | Elite Build (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Elite%20Build%20%28Minimal%20Wear%29,4.2,1181,2026-07-08T13:41:06.050627
AK-47 | Elite Build (Well-Worn),AK-47 | Elite Build (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Elite%20Build%20%28Well-Worn%29,1.96,3106,2026-07-08T13:41:06.050700
AK-47 | Emerald Pinstripe (Battle-Scarred),AK-47 | Emerald Pinstripe (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Emerald%20Pinstripe%20%28Battle-Scarred%29,3.04,423,2026-07-08T13:41:06.050776
AK-47 | Emerald Pinstripe (Factory New),AK-47 | Emerald Pinstripe (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Emerald%20Pinstripe%20%28Factory%20New%29,39.35,108,2026-07-08T13:41:06.050852
AK-47 | Emerald Pinstripe (Field-Tested),AK-47 | Emerald Pinstripe (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Emerald%20Pinstripe%20%28Field-Tested%29,3.36,778,2026-07-08T13:41:07.899817
AK-47 | Emerald Pinstripe (Minimal Wear),AK-47 | Emerald Pinstripe (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Emerald%20Pinstripe%20%28Minimal%20Wear%29,5.46,575,2026-07-08T13:41:07.899907
AK-47 | Emerald Pinstripe (Well-Worn),AK-47 | Emerald Pinstripe (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Emerald%20Pinstripe%20%28Well-Worn%29,3.19,487,2026-07-08T13:41:07.899986
AK-47 | Fire Serpent (Battle-Scarred),AK-47 | Fire Serpent (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Fire%20Serpent%20%28Battle-Scarred%29,830.99,2,2026-07-08T13:41:07.900062
AK-47 | Fire Serpent (Field-Tested),AK-47 | Fire Serpent (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Fire%20Serpent%20%28Field-Tested%29,1138.23,11,2026-07-08T13:41:07.900137
AK-47 | Fire Serpent (Well-Worn),AK-47 | Fire Serpent (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Fire%20Serpent%20%28Well-Worn%29,1646.54,1,2026-07-08T13:41:07.900214
AK-47 | First Class (Battle-Scarred),AK-47 | First Class (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20First%20Class%20%28Battle-Scarred%29,117.61,5,2026-07-08T13:41:07.900288
AK-47 | First Class (Factory New),AK-47 | First Class (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20First%20Class%20%28Factory%20New%29,297.2,8,2026-07-08T13:41:07.900371
AK-47 | First Class (Field-Tested),AK-47 | First Class (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20First%20Class%20%28Field-Tested%29,140.0,18,2026-07-08T13:41:07.900446
AK-47 | First Class (Minimal Wear),AK-47 | First Class (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20First%20Class%20%28Minimal%20Wear%29,175.58,6,2026-07-08T13:41:07.900520
AK-47 | First Class (Well-Worn),AK-47 | First Class (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20First%20Class%20%28Well-Worn%29,117.61,5,2026-07-08T13:41:09.839705
AK-47 | Frontside Misty (Battle-Scarred),AK-47 | Frontside Misty (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Frontside%20Misty%20%28Battle-Scarred%29,21.81,98,2026-07-08T13:41:09.839820
